"subject","target","trial","race","object","time","response"
6,"w13",49,"white","nogun","565","correct"
7,"b90",49,"black","gun","700","correct"
8,"w92",49,"white","gun",".","timeout"
9,"b96",49,"black","nogun",".","timeout"
10,"w93",49,"white","gun","549","correct"
11,"b90",49,"black","gun","750","correct"
12,"w14",49,"white","gun","586","correct"
13,"b16",49,"black","gun","597","correct"
14,"b10",49,"black","nogun","818","correct"
15,"w14",49,"white","gun","442","correct"
16,"b97",49,"black","nogun","838","correct"
17,"w98",49,"white","nogun","624","correct"
18,"w94",49,"white","nogun","607","correct"
19,"b97",49,"black","nogun","694","correct"
20,"w06",49,"white","nogun","603","correct"
21,"b95",49,"black","gun","506","correct"
22,"w11",49,"white","nogun","639","correct"
23,"b91",49,"black","nogun","603","correct"
24,"b08",49,"black","nogun",".","timeout"
25,"w97",49,"white","nogun","577","correct"
26,"b12",49,"black","nogun","651","correct"
27,"w91",49,"white","gun","604","correct"
28,"w01",49,"white","nogun","639","correct"
29,"b02",49,"black","gun","544","correct"
30,"b09",49,"black","gun","697","correct"
31,"w08",49,"white","nogun","669","correct"
32,"b11",49,"black","gun","587","correct"
33,"w97",49,"white","nogun","473","correct"
34,"w02",49,"white","nogun","583","correct"
35,"w13",49,"white","nogun","618","correct"
36,"b92",49,"black","nogun","658","correct"
1,"w07",50,"white","gun","589","correct"
2,"b94",50,"black","nogun","575","correct"
3,"b95",50,"black","gun","498","correct"
4,"w07",50,"white","nogun","519","correct"
5,"b97",50,"black","gun","561","correct"
6,"b95",50,"black","nogun","562","correct"
7,"b12",50,"black","nogun",".","timeout"
8,"w92",50,"white","nogun","664","correct"
9,"w08",50,"white","nogun","631","correct"
10,"w08",50,"white","nogun","675","correct"
11,"b09",50,"black","nogun","607","correct"
12,"w11",50,"white","nogun","601","correct"
13,"w06",50,"white","gun","722","correct"
14,"b07",50,"black","nogun","695","correct"
15,"b01",50,"black","gun","584","incorrect"
16,"w14",50,"white","gun","475","correct"
17,"w11",50,"white","nogun","684","correct"
18,"b10",50,"black","gun",".","timeout"
19,"w08",50,"white","nogun","542","correct"
20,"b93",50,"black","nogun","660","correct"
21,"w98",50,"white","nogun","591","correct"
22,"b95",50,"black","gun","505","correct"
23,"w04",50,"white","gun","554","correct"
24,"w98",50,"white","nogun","695","correct"
25,"w02",50,"white","gun","583","correct"
26,"b93",50,"black","gun","526","correct"
27,"w94",50,"white","gun","428","correct"
28,"w92",50,"white","nogun","687","correct"
29,"w07",50,"white","gun","841","incorrect"
30,"b96",50,"black","nogun","518","correct"
31,"b98",50,"black","gun","507","correct"
32,"b93",50,"black","gun","654","correct"
33,"b12",50,"black","nogun","643","correct"
34,"w04",50,"white","gun","616","correct"
35,"w14",50,"white","gun","649","correct"
36,"b03",50,"black","gun","530","correct"
1,"w06",51,"white","nogun","734","correct"
2,"b97",51,"black","gun","687","correct"
3,"w01",51,"white","gun","551","correct"
4,"w13",51,"white","nogun","522","correct"
5,"w13",51,"white","nogun","494","correct"
6,"b17",51,"black","gun","639","correct"
7,"b94",51,"black","gun","528","correct"
8,"b07",51,"black","nogun","789","correct"
9,"b14",51,"black","nogun","590","correct"
10,"w16",51,"white","nogun","611","correct"
11,"w19",51,"white","gun","607","correct"
12,"w03",51,"white","nogun","614","correct"
13,"w91",51,"white","nogun","615","correct"
14,"w11",51,"white","gun","574","correct"
15,"w01",51,"white","nogun","685","correct"
16,"w01",51,"white","nogun","696","correct"
17,"b92",51,"black","nogun","825","correct"
18,"w91",51,"white","gun","605","correct"
19,"w97",51,"white","nogun","650","correct"
20,"w17",51,"white","nogun","642","correct"
21,"w16",51,"white","nogun","604","correct"
22,"w11",51,"white","gun","520","correct"
23,"b90",51,"black","gun","476","correct"
24,"b93",51,"black","gun","521","correct"
25,"w04",51,"white","nogun","553","correct"
26,"w97",51,"white","gun","460","correct"
27,"b08",51,"black","gun","440","correct"
28,"w08",51,"white","nogun","603","correct"
29,"w02",51,"white","gun","434","correct"
30,"b02",51,"black","nogun","775","correct"
31,"w13",51,"white","nogun","565","correct"
32,"w08",51,"white","nogun","595","correct"
33,"b13",51,"black","gun","450","correct"
34,"b91",51,"black","gun","656","correct"
35,"w91",51,"white","nogun","648","correct"
36,"w95",51,"white","gun","645","correct"
1,"w16",52,"white","gun","642","correct"
2,"b92",52,"black","nogun","586","correct"
3,"w06",52,"white","gun","652","incorrect"
4,"b98",52,"black","gun","522","correct"
5,"w03",52,"white","nogun","736","correct"
6,"b16",52,"black","nogun","628","correct"
7,"b96",52,"black","gun","554","correct"
8,"b04",52,"black","gun","563","correct"
9,"w11",52,"white","nogun","580","correct"
10,"b05",52,"black","gun","563","correct"
11,"w04",52,"white","gun","620","correct"
12,"w19",52,"white","gun","607","incorrect"
13,"w13",52,"white","nogun","694","correct"
14,"w90",52,"white","gun","601","correct"
15,"w01",52,"white","gun","592","correct"
